server_config,arrival_pattern,target_rate_rps,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill
no_chunk,poisson,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,94.57416595704854,0.5000008472721231,0.5075405970710726,48.22189547107712,171.8028881587088,577.1936235018072,11.931610345106751,15.16181628147601,1118.105097208172,3464.5444547757497,1000.0,100.0,48.0,100.0,0.5075405970710726,48.22189547107712,1.6150365117937326,0.0,0.0,0.0,4.0,0.03274133140026575,0.0,64.0,0.9,False
no_chunk,poisson,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,47.57037208415568,1.0000028448880673,1.0090495994512167,95.88112804108691,176.85699090361595,814.3840769305823,12.764876212813412,22.799281098631248,1413.794125430286,3897.0476454123846,1000.0,100.0,47.5,98.95833333333334,0.9984940492627221,93.1789071928323,1.4172663912177084,0.0,0.0,0.0,6.0,0.0487797511175546,0.0,64.0,0.9,False
no_chunk,poisson,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,24.81103246193379,2.0000251269152125,1.9354603044480347,183.66747623729367,249.59175195544958,979.1472262702883,16.733969961062872,33.64048744219606,1789.3693642690778,5545.809543039648,1000.0,100.0,44.5,92.70833333333334,1.7964293727202576,165.76418221066103,1.2032487895339727,0.010970021745883799,0.0,1.0,12.0,0.0723088075389634,0.0,64.0,0.9,False
no_chunk,poisson,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,17.63906308542937,3.000030987020203,2.7317619634542076,258.66940792928983,391.9810550287366,1173.6156469676644,24.382267888972056,51.59068835188749,2476.7468525096774,6864.554487727582,1000.0,100.0,42.5,88.54166666666669,2.4346471705370356,228.72701332877398,1.6597805544733997,0.06798245614035085,0.25,2.0,18.5,0.1116950585961097,0.0,64.0,0.9,False
no_chunk,poisson,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,14.71130465529859,3.9999601467736454,3.292916580240467,311.25242102735353,537.6178994774818,1275.179607188329,33.538445358259295,64.62648443212998,3315.310119651258,8716.733923554419,1000.0,100.0,36.5,76.04166666666667,2.5597576487731573,237.83407036873632,1.6708073671907187,0.1850674696107951,1.0,2.0,25.0,0.14253352664008695,0.0,64.0,0.9,False
no_chunk,poisson,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.91808841470629,6.00031150793374,3.7633987402142415,355.40489802216604,1084.7919695079327,2131.9506645202637,60.55426153894998,176.93398012112036,6586.982721928507,9962.36066087149,1000.0,100.0,16.0,33.333333333333336,1.3338905829200873,145.28465637838116,1.4691350050270553,1.172943722943723,5.799999999999997,6.5,43.5,0.22465869276307834,0.0,64.0,0.9,False
seq16,bursty,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,97.49482248071581,0.49998570094341765,0.49239666321460995,46.74987310685462,1033.522489015013,1588.3316354826093,15.27982068967145,36.348803452546555,2290.2540219947696,4428.866812819615,1000.0,100.0,23.0,47.916666666666664,0.23663531525366718,23.989260181742125,4.282183293253183,0.099274414595892,0.0,5.0,8.0,0.04992346638408095,0.0,16.0,0.9,True
seq16,bursty,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,50.470918032340705,0.9999393713808048,0.9514834862716403,90.28853904362049,982.9445979557931,1577.0834126044065,15.757895891122143,32.377485255269676,2272.412268910557,4417.988699581474,1000.0,100.0,24.0,50.0,0.47787491297301454,46.37379110001005,3.772431192919611,0.18806966943421582,1.1999999999999886,5.0,8.0,0.04992346638408095,0.0,16.0,0.9,True
seq16,bursty,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,27.003378672525287,1.9997944400389724,1.7805563190108804,168.78735716891015,941.2683793343604,1748.9165947306901,15.46640906604525,37.839837828951495,2294.1806544549763,5143.205906869844,1000.0,100.0,21.5,44.791666666666664,0.8104853998300804,71.38408647082014,3.6540827713906765,0.3740684561102684,3.5,4.5,9.0,0.05039444248204395,0.0,16.0,0.9,True
seq16,bursty,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,19.219913356937468,2.9996551694417954,2.5061977845340175,237.34675813283562,928.9546781219541,1715.2278437279165,17.13206507208381,31.70427515055112,2317.6600206643343,5877.761037182063,1000.0,100.0,20.0,41.66666666666667,1.068983456819041,113.82331391718935,3.5914928186684847,0.6674486803519062,5.0,5.5,11.0,0.07464971152713995,0.0,16.0,0.9,True
seq16,bursty,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,15.646640047430992,3.999083940969241,3.082733758441373,291.78514901931203,1019.5560012944043,1904.999173618853,29.0292731667134,44.191922067654545,2997.714547906071,8051.3467185664895,1000.0,100.0,21.0,43.75,1.380037295269473,127.37034783750366,3.5675209946930404,1.0415990957786623,5.0,5.5,15.5,0.10608736606617215,0.0,16.0,0.9,True
seq16,bursty,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,14.323768375441432,5.9979331584912785,3.399938532166219,320.9561575281077,1457.897747401148,3380.0174535717815,36.70936352385799,51.06959008615077,4158.751419745386,9192.65201082453,1000.0,100.0,16.0,33.333333333333336,1.201246278311511,121.30431857116423,4.617537092417478,3.9331262939958593,10.5,11.0,16.0,0.1023489932885906,0.0,16.0,0.9,True
seq16,poisson,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,94.57372185774148,0.5000026929244454,0.5075429373965872,48.22206837204516,171.78037483245134,575.0460316427051,11.929456336279864,15.184564374344223,1119.0778575837612,3463.5841490235175,1000.0,100.0,48.0,100.0,0.5075429373965872,48.22206837204516,1.6649113968014713,0.0,0.0,0.0,4.0,0.0319086306369951,0.0,16.0,0.9,True
seq16,poisson,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,47.5715556172654,1.0000123019919265,1.0090251321983827,95.87917500302484,179.28892094641924,816.2473991047589,12.73479605765028,22.771092799449832,1414.2687148414552,3898.963630758225,1000.0,100.0,47.0,97.91666666666666,0.9879129942601725,92.50123293291124,1.7406533937901256,0.0,0.0,0.0,5.5,0.04662663369833975,0.0,16.0,0.9,True
seq16,poisson,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,24.81305697374046,2.000029084091189,1.9353173676068252,183.65212024182017,251.68492924422026,981.5464133396745,16.913696028370868,33.60435048197299,1789.6216474473476,5550.709630968047,1000.0,100.0,44.5,92.70833333333334,1.796315368727455,165.75158188881903,1.5983842313289638,0.010970021745883799,0.0,1.0,12.5,0.07073472271282225,0.0,16.0,0.9,True
seq16,poisson,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,17.76798474509269,3.000069082207679,2.7143455562852834,256.9287577210925,435.1848363876343,1157.9065467696637,23.31793266813699,46.902678395953096,2431.360635906458,6777.777146687731,1000.0,100.0,41.5,86.45833333333334,2.3681837025927015,216.33442226637592,1.287763006985187,0.12906295196772472,1.0,2.0,16.0,0.09546096785588125,0.0,16.0,0.9,True
seq16,poisson,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,15.334854431450367,4.000162247682498,3.168997202018419,299.29982522275156,617.4810621887445,1890.0667340960351,34.225557228185494,54.05609650199749,3152.9045030474663,8460.158066777509,1000.0,100.0,34.0,70.83333333333333,2.2885790756546696,215.01705997363857,1.2874055653810497,1.2622564102564102,5.5,7.5,16.0,0.1054103379253503,0.0,16.0,0.9,True
seq16,poisson,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,14.650564818643034,6.000418109568914,3.3274452316226144,314.0451231129242,1879.257199820131,4282.830414781347,39.22938987127844,71.04645017868302,5162.37383056432,9432.71435862407,1000.0,100.0,17.0,35.41666666666667,1.195654968626544,107.87167467651574,1.3537943363189693,5.287060621497708,14.0,15.5,16.0,0.10667608618862585,0.0,16.0,0.9,True
