server_config,arrival_pattern,target_rate_rps,repeat,sample_offset_s,running,waiting,kv_usage,preemptions
baseline,poisson,0.5,0,32.42321093194187,1.0,0.0,0.015464540292376427,0.0
baseline,poisson,0.5,0,32.53247509524226,1.0,0.0,0.015464540292376427,0.0
baseline,poisson,0.5,0,32.64171487465501,1.0,0.0,0.015464540292376427,0.0
baseline,poisson,0.5,0,32.75536223128438,1.0,0.0,0.015464540292376427,0.0
baseline,poisson,0.5,0,32.86459974013269,1.0,0.0,0.015464540292376427,0.0
baseline,poisson,0.5,0,32.972642593085766,3.0,0.0,0.03304337320285122,0.0
baseline,poisson,0.5,0,33.082960460335016,3.0,0.0,0.03304337320285122,0.0
baseline,poisson,0.5,0,33.19348137266934,3.0,0.0,0.03322459828440261,0.0
baseline,poisson,0.5,0,33.30322397686541,3.0,0.0,0.033285006644919624,0.0
baseline,poisson,0.5,0,33.41335206478834,3.0,0.0,0.03340582336595388,0.0
baseline,poisson,0.5,0,33.5233202688396,3.0,0.0,0.033526640086988024,0.0
baseline,poisson,0.5,0,33.633376909419894,3.0,0.0,0.03358704844750515,0.0
baseline,poisson,0.5,0,33.740876073017716,1.0,0.0,0.015766582094961956,0.0
baseline,poisson,0.5,0,33.85074068047106,2.0,0.0,0.016310257339615775,0.0
baseline,poisson,0.5,0,33.960598876699805,2.0,0.0,0.01643107406065003,0.0
baseline,poisson,0.5,0,34.06834214553237,2.0,0.0,0.01643107406065003,0.0
baseline,poisson,0.5,0,34.17826402001083,1.0,0.0,0.0158873988159961,0.0
baseline,poisson,0.5,0,34.28762297332287,1.0,0.0,0.0158873988159961,0.0
baseline,poisson,0.5,0,34.397252824157476,1.0,0.0,0.01594780717651323,0.0
baseline,poisson,0.5,0,34.504529081285,1.0,0.0,0.016008215537030357,0.0
baseline,poisson,0.5,0,34.61433380655944,1.0,0.0,0.016008215537030357,0.0
baseline,poisson,0.5,0,34.72582865692675,1.0,0.0,0.016068623897547374,0.0
baseline,poisson,0.5,0,34.83551844023168,1.0,0.0,0.016068623897547374,0.0
baseline,poisson,0.5,0,34.945961782708764,1.0,0.0,0.016129032258064502,0.0
baseline,poisson,0.5,0,35.05376603268087,1.0,0.0,0.01618944061858163,0.0
baseline,poisson,0.5,0,35.1637893691659,1.0,0.0,0.01618944061858163,0.0
baseline,poisson,0.5,0,35.269683392718434,1.0,0.0,0.016249848979098758,0.0
baseline,poisson,0.5,0,35.37626616284251,1.0,0.0,0.016249848979098758,0.0
baseline,poisson,0.5,0,35.4852038025856,1.0,0.0,0.016310257339615775,0.0
baseline,poisson,0.5,0,35.59542691335082,1.0,0.0,0.016310257339615775,0.0
baseline,poisson,0.5,0,35.70524188876152,1.0,0.0,0.016370665700132903,0.0
baseline,poisson,0.5,0,35.814562410116196,1.0,0.0,0.016370665700132903,0.0
baseline,poisson,0.5,0,35.92173690535128,1.0,0.0,0.016370665700132903,0.0
baseline,poisson,0.5,0,36.03094583749771,2.0,0.0,0.02416334420683819,0.0
baseline,poisson,0.5,0,36.14114944636822,2.0,0.0,0.024223752567355317,0.0
baseline,poisson,0.5,0,36.25150038860738,1.0,0.0,0.007853086867222414,0.0
baseline,poisson,0.5,0,36.36104007996619,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,36.47117152065039,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,36.5804582927376,1.0,0.0,0.00797390358825667,0.0
baseline,poisson,0.5,0,36.69037417322397,1.0,0.0,0.00797390358825667,0.0
